TARGET,epeRes,epeCom,epeInd,expQ,impQ,expBasic,expSemi,expManuf,expAgroDolar,anfaveaProd,anfaveaLic,cagedTransf,cagedConstr,cagedCom,cagedServ,ipa,cambio,poup,m1,m2,ibov,embi,RecRFBIPCA
-1.410343788,-0.830576361,-1.236207469,-1.305870846,-1.692715719,-0.5311604115,-1.612193162,-1.392950172,-1.669263473,-1.163697222,-1.616531586,-1.530705778,-1.509361797,-0.5260298971,-1.404348925,-1.321073663,-1.736627987,-1.580239521,-1.131016688,-1.49568229,-1.27890386,-2.229759376,1.872487785,-1.685179957
-1.410343788,-0.870905375,-1.182101442,-1.355280255,-1.907173306,-0.9218499451,-1.903627689,-1.650172349,-1.827585961,-1.433621239,-1.964680312,-1.560846906,-1.579048162,-0.5922648866,-1.400981975,-1.331264807,-1.740994838,-1.564012206,-1.115021453,-1.413509114,-1.261784617,-1.955743046,1.545314306,-1.863118797
-1.410343788,-0.8340667331,-1.107874842,-1.683129403,-1.751861448,-1.092259028,-1.850079388,-1.252561335,-1.620882237,-1.432962276,-2.620352709,-1.432612366,-1.762214949,-0.7326005572,-1.437944131,-1.380067059,-1.736986968,-1.548896953,-1.100592738,-1.300948725,-1.246684213,-2.124909059,1.924904279,-0.7763749918
-1.64804899,-0.5615437405,-0.9511246201,-2.049356231,-2.446675963,-1.589307693,-2.237589819,-1.665689926,-2.762261148,-1.726338351,-1.901237866,-1.74364391,-1.789745938,-0.7483934611,-1.445844003,-1.377657844,-1.705521525,-0.3464308076,-1.090302386,-1.318629187,-1.246827881,-2.169739089,2.25426547,-1.578298601
-1.64804899,-0.8108563406,-1.073995744,-1.926208925,-2.112614389,-2.03956969,-1.978813061,-1.557967646,-2.216279521,-1.442568289,-2.008970249,-3.773742401,-1.837627393,-0.8016468023,-1.461417501,-1.380292111,-1.604361974,-0.2485133194,-1.067382663,-1.370568843,-1.22797326,-1.866591273,2.10620297,-1.258028237
-1.64804899,-0.7557082669,-1.051609595,-1.717007501,-1.626893221,-1.31095038,-1.668739413,-1.172100734,-1.625387996,-1.115021894,-1.133866256,-0.6254002463,-1.871939346,-0.8510902704,-1.480744534,-1.388070986,-1.550932869,-0.689383543,-1.057219406,-1.429578583,-1.222620076,-1.682784629,1.651956213,-1.261666499
-1.44082861,-0.602462351,-0.8505114608,-1.253871782,-1.645201876,-1.581010086,-1.379830379,-1.599351212,-1.750206639,-0.7959388705,-1.249826797,-0.9715483765,-1.834937141,-0.8624750155,-1.485985494,-1.383321572,-1.531674985,-0.7774065725,-1.055473031,-1.467234187,-1.238065902,-1.557289056,1.365402745,-1.403853789
-1.44082861,-0.9033529072,-1.197337758,-1.433195591,-1.185930225,-1.320301962,-0.9319810206,-0.7748456656,-1.399576754,-0.7347012683,-1.150235443,-1.194963157,-1.782121899,-0.8600236173,-1.473376326,-1.372612485,-1.519332402,-0.6865647282,-1.046392369,-1.467865047,-1.232913738,-1.496007815,1.690594255,-1.723438342
-1.44082861,-0.870905375,-1.262694222,-1.314279025,-1.225681485,-1.046658924,-1.115389338,-0.667460662,-1.303436264,-0.9387894291,-1.092444322,-1.381748079,-1.749767217,-0.8615485008,-1.462368157,-1.367430839,-1.503874541,-0.6233050495,-1.052627418,-1.418095855,-1.222327837,-1.538041707,1.514975589,-1.477999879
-1.287277297,-0.8891607931,-1.295885896,-1.28071389,-1.340540329,-1.300888272,-1.125849589,-1.079437673,-1.458347609,-1.014576558,-1.125214248,-1.238223284,-1.743161209,-0.8773852616,-1.460119297,-1.367380509,-1.464886503,-0.5964187484,-1.057901631,-1.36575901,-1.226089273,-1.548201266,1.670616941,-1.068553352
-1.287277297,-0.9069090153,-1.231663118,-1.082439527,-1.233999319,-1.08882831,-1.163515348,-1.108690289,-1.154161619,-1.097917301,-0.865737009,-1.02847999,-1.729035323,-0.8879309645,-1.457361207,-1.360266031,-1.427776076,-0.4302697128,-1.064345597,-1.378241976,-1.229508461,-1.681346065,1.776853313,-1.563738311
-1.287277297,-0.7820361525,-1.111370225,-1.113790789,-1.275992955,-1.185572656,-1.20419722,-0.9702593422,-1.213993282,-1.155944751,-0.845528171,-0.9377766575,-1.68088967,-0.8926760252,-1.455311652,-1.3568887,-1.392203379,-0.4221712135,-1.072520334,-1.391300051,-1.236541453,-1.543369416,1.560274265,-1.11703268
-1.298302616,-0.8521502258,-1.135946657,-1.118448809,-1.250222171,-1.10154462,-1.320057539,-0.8084851368,-1.109506304,-1.379553111,-1.232395671,-1.773235811,-1.63256986,-0.9062356524,-1.441729245,-1.355737438,-1.355092952,-0.38369486,-1.077659845,-1.351778301,-1.227729808,-1.544016926,1.32384727,-1.287894563
-1.298302616,-0.8282511795,-1.055043323,-1.04778805,-1.451640949,-1.035886518,-1.53826112,-1.23357852,-1.281016726,-1.435344228,-1.259782311,-1.922917678,-1.631586226,-0.9391775582,-1.418260921,-1.35110663,-1.318836651,-0.4216659529,-1.0754821,-1.280702736,-1.215213116,-1.349343059,1.235393556,-1.259916323
-1.298302616,-0.7808877606,-0.9988579806,-1.162287229,-1.061933846,-1.120562818,-1.438586921,-0.2606951075,-0.7910889418,-1.486976946,-1.920456431,-1.938690617,-1.739414681,-1.025575603,-1.426430209,-1.373803545,-1.301996005,-0.5966902155,-1.067663551,-1.048248008,-1.168454117,-1.155904628,0.8497135219,-0.5311312567
-1.423106115,-0.5398946657,-0.7288909969,-1.551294379,-1.887558751,-1.772191026,-1.906351631,-1.410088363,-1.851640477,-1.877283721,-1.620223265,-1.863897127,-1.720798787,-1.000718286,-1.425187401,-1.371140914,-1.284982588,-0.5785686877,-1.053724675,-1.169821106,-1.187409347,-1.015863166,1.13542575,-1.135681857
-1.423106115,-0.6654921817,-0.7812301504,-1.32811704,-1.423021594,-1.275717705,-1.927203026,-1.072414808,-1.006976522,-1.768229741,-0.9134657789,-1.254655187,-1.686223932,-0.9941703026,-1.424381688,-1.356202591,-1.272120408,-0.6246778075,-1.062491782,-1.225471926,-1.220242653,-0.9498707645,0.9776687612,-1.359965583
-1.423106115,-0.611247464,-0.7165191526,-1.102741868,-1.234489434,-1.064599393,-1.541312239,-1.317164884,-0.7614507653,-1.475215858,-0.8405603588,-1.13584649,-1.664225824,-1.005241715,-1.417040481,-1.350006619,-1.261684349,-0.6539643927,-1.068781222,-1.242781525,-1.220510689,-0.9315224135,0.9562300076,-0.9515821021
-1.237237532,-0.6872908767,-0.742867405,-1.003026133,-1.388985604,-1.358808513,-1.214884993,-1.71875089,-1.247335029,-0.9171990511,-0.8687391254,-1.155314547,-1.617017326,-0.9793714506,-1.400191618,-1.328582582,-1.256110684,-0.5727821136,-1.07283558,-1.23361197,-1.227067602,-1.097086874,1.100690977,-1.213368094
-1.237237532,-0.7165465295,-0.8489016277,-1.037429917,-0.9361513871,-0.9013523361,-0.8877774478,-1.406764443,-0.8327977788,-0.7858400494,-0.6096684884,-0.8839741722,-1.553347584,-0.9716614776,-1.38852404,-1.320474128,-1.243594885,-0.5461805029,-1.078285981,-1.249018732,-1.226838752,-1.201148511,1.206864879,-1.255273103
-1.237237532,-0.8154873879,-1.00984615,-0.848276235,-1.024594797,-1.000849519,-0.9823653373,-1.510800274,-0.7724613838,-0.8359100992,-0.602877144,-0.9877275919,-1.530520059,-0.953153255,-1.373788121,-1.308061546,-1.232465304,-0.5818044093,-1.071634075,-1.211098269,-1.225843682,-1.052770546,1.056203764,-1.178410955
-1.053626484,-0.8189642836,-0.9929570453,-0.9421383086,-0.9926928033,-0.85236855,-0.9525579971,-1.198013004,-0.7707204234,-0.8678136858,-0.6569696611,-0.9645468152,-1.498533344,-0.935411495,-1.361057895,-1.293917404,-1.189728097,-0.6160423598,-1.072055631,-1.160542922,-1.215551001,-1.003666808,1.033495855,-1.146708642
-1.053626484,-0.8027652091,-1.083514707,-0.8176692702,-0.7752018899,-0.5234237899,-0.7505610203,-0.9523234253,-0.6237743627,-0.677958721,-0.3610671052,-0.6390554226,-1.465208044,-0.920639917,-1.350799398,-1.277116912,-1.160319915,-0.5504385356,-1.075255487,-1.169965849,-1.209876305,-0.9973087049,0.9393580358,-1.144474933
-1.053626484,-0.6744205098,-0.88532252,-0.9167072242,-1.151046821,-0.754066584,-1.290595576,-1.323100195,-0.7957622897,-1.23391692,-0.6614065363,-0.866516822,-1.394776861,-0.9123281071,-1.334944758,-1.258677916,-1.148670374,-0.5235523313,-1.088804088,-1.112208094,-1.207266458,-1.037783445,1.017409746,-1.20695545
-1.063251891,-0.5964340382,-0.7828059023,-0.7739668704,-1.141098065,-0.75889449,-1.203842159,-1.44351026,-0.7887547448,-1.297083455,-0.680388976,-0.853639413,-1.360480781,-0.9036893861,-1.315967876,-1.24881989,-1.140837483,-0.439031269,-1.097340634,-1.098023733,-1.203591656,-1.170317203,1.13542575,-1.044514159
-1.063251891,-0.6366153944,-0.6470599035,-0.7344009752,-1.277487565,-0.7664560687,-1.264599276,-1.147924639,-1.106293747,-1.518304432,-0.8721850419,-0.7816721477,-1.349750892,-0.9368132749,-1.285791908,-1.240119108,-1.130921748,-0.3755020917,-1.091419,-1.042431777,-1.18051724,-1.226923877,1.281203313,-1.007004127
-1.063251891,-0.6543604219,-0.6387661219,-1.04260684,-1.170581145,-0.8854501582,-1.612193162,-1.071412743,-0.6972814063,-1.97478551,-0.9815801185,-0.8081393862,-1.449775985,-1.029932419,-1.290521192,-1.256162657,-1.110973838,-0.3807124725,-1.061874717,-0.8468630146,-1.134693919,-1.196837771,1.115978702,-0.4040138315
-1.244356819,-0.4719442359,-0.5739248824,-1.305270694,-1.251702014,-0.7837790629,-1.282008324,-0.6141580577,-1.325322702,-1.893889597,-1.104711746,-1.040706194,-1.41435933,-1.014556708,-1.297375949,-1.250474393,-1.097419098,-0.3612925211,-1.058213201,-0.9784055536,-1.161898192,-0.998855492,0.9514272587,-0.7482238268
-1.244356819,-0.5205126603,-0.4973979851,-1.052397174,-1.482735755,-1.325178096,-1.549184183,-1.663895763,-1.298667873,-1.935767862,-0.765556689,-0.8320266807,-1.396181623,-1.006884251,-1.293364212,-1.231998741,-1.092019339,-0.2716749598,-1.052142216,-0.9474237172,-1.149622388,-1.041807835,1.124650524,-1.330640079
-1.244356819,-0.4370931844,-0.5227018033,-1.0316828,-0.9031534047,-0.4831796047,-1.093339253,-1.01922094,-0.5496962231,-1.246582452,-0.2108184827,-0.2543745585,-1.395703567,-1.001108576,-1.295156663,-1.218091362,-1.087315386,-0.1372550011,-1.0568393,-0.9876457879,-1.154809699,-1.145706226,1.245462424,-1.048890928
-1.116742428,-0.4587064332,-0.4353630872,-0.7977163885,-1.035467827,-0.9138238413,-0.7812632894,-1.73275878,-0.9129801755,-0.8173671385,-0.3828000159,-0.421015139,-1.353206353,-0.9624117982,-1.274591139,-1.196718152,-1.078961551,-0.1114414268,-1.053039082,-0.9916230455,-1.15023546,-1.224699957,1.247468746,-0.8767143483
-1.116742428,-0.695145847,-0.6781660895,-0.7805855796,-0.7011127436,-0.6241182336,-0.4312172987,-1.350756722,-0.5698344307,-0.6136898977,-0.1000248518,-0.3064034783,-1.307106991,-0.9565514607,-1.260457558,-1.185249237,-1.070434104,0.07599068322,-1.040726195,-0.9979459889,-1.135823314,-1.201233542,1.337184869,-0.9405025432
-1.116742428,-1.320620901,-1.182995668,-1.16522074,-0.8501989755,-0.8573824802,-0.4365413335,-1.734590222,-0.8239420709,-0.5830403673,-0.4819711144,-0.7194453134,-1.293442426,-0.9577671809,-1.247118302,-1.178104802,-1.042913876,0.01862116108,-1.030236557,-0.981145797,-1.115437864,-1.185421129,1.316176439,-0.9156940999
-1.02986812,-1.920175874,-1.776416274,-2.10298216,-0.902290675,-0.7825596451,-0.5561233149,-1.100595051,-0.9214708377,-0.8055385247,-0.6464328883,-0.9639850018,-1.296696343,-0.9596887391,-1.23637322,-1.16279887,-1.010249486,0.1482709922,-1.023512312,-0.9645914514,-1.110356903,-1.269777722,1.540296951,-0.9103466805
-1.02986812,-1.90866145,-1.762421634,-1.874070657,-0.5036585658,-0.6106742855,-0.3903166849,-0.2473508536,-0.624329335,-0.5509669108,-0.6856172657,-0.839416109,-1.295227142,-0.9713738101,-1.222576651,-1.146882711,-0.9920271504,0.2656449936,-1.017692385,-0.9603139282,-1.091969376,-1.317534768,1.509863715,-0.9244494093
-1.02986812,-1.793859319,-1.527533954,-1.830842759,-0.9748909835,-1.20020274,-0.6312010307,-1.227274747,-1.040800765,-0.8198553402,-0.9000493394,-1.531480935,-1.248049496,-0.9813649688,-1.200664471,-1.132127014,-0.9789918032,0.376879326,-1.010588789,-0.9443727907,-1.08859258,-1.578764631,1.835184898,-1.085657929
-1.090851087,-1.837267835,-1.435153279,-1.843910613,-0.7883773586,-0.839564272,-0.6389770995,-0.4483269162,-0.7545155517,-1.092559268,-1.08841504,-1.273508155,-1.210690909,-0.992023154,-1.172975166,-1.120711528,-0.9454715255,0.4092080167,-1.014132908,-0.9611442803,-1.090972781,-1.584470765,1.832387422,-0.8064873805
-1.090851087,-1.685232615,-1.296812877,-1.765909779,-1.039102313,-1.025493098,-1.021277244,-0.7789747847,-0.8834335443,-1.451410767,-0.9469490383,-0.8827636901,-1.208836767,-1.025879814,-1.134566312,-1.112770022,-0.9341686069,0.2436570472,-1.000813076,-0.9143095734,-1.069806336,-1.380485517,1.546983328,-0.9655107094
-1.090851087,-1.721593629,-1.215357299,-1.873413456,-1.103077463,-1.532585479,-1.034029342,-0.7789747847,-0.974729118,-1.655722193,-1.348016719,-0.9510550539,-1.297933919,-1.119970242,-1.134221151,-1.130899219,-0.9397601374,0.03489706777,-0.9766255205,-0.7062739051,-1.003837315,-1.328216461,1.346645272,-0.3894328534
-1.219245266,-1.419433861,-1.0930624,-1.932839792,-1.312103203,-1.288642738,-1.339226115,-0.9537741161,-1.648009442,-1.940159553,-1.095548648,-1.20660142,-1.276194458,-1.114624972,-1.132545419,-1.123689206,-0.9453516676,0.1352516139,-0.9765885432,-0.8389641837,-1.026748049,-1.322835913,1.352295239,-0.3236496719
-1.219245266,-1.465687153,-1.033643418,-1.617180062,-1.532835347,-1.532992095,-1.396917423,-1.489165433,-1.46335233,-1.89764834,-1.111720877,-1.630900109,-1.263260255,-1.108919095,-1.124538202,-1.108645168,-0.9390825441,0.0638181831,-0.97190337,-0.8485164968,-1.023857886,-1.338868527,1.192410865,-0.8759679295
-1.219245266,-1.387782107,-1.043897307,-1.343796955,-1.104942012,-1.299029181,-0.9749396507,-1.381390054,-0.9581086133,-1.495298997,-0.6230444734,-1.006670685,-1.229209095,-1.099439393,-1.116625727,-1.093962037,-0.9383848607,0.03824371249,-0.9689572494,-0.859283367,-0.9947684382,-1.273715642,1.04715857,-0.9250316713
-0.9980552215,-1.102669672,-0.8264495656,-1.106810253,-0.9300412156,-1.026831855,-0.6551486985,-1.288713975,-0.8541488406,-0.9803885953,-0.4936447622,-0.70619489,-1.165343712,-1.071064052,-1.103269891,-1.073690193,-0.915851785,0.07856178848,-0.9726758142,-0.8337352268,-0.9989924835,-1.327331542,1.320016372,-0.6911961446
-0.9980552215,-1.130198786,-0.8715141858,-1.0156189,-1.055063281,-1.104302281,-0.7870330047,-1.563185238,-0.9421823302,-1.219960831,-0.6129933261,-1.018858953,-1.128778381,-1.078934867,-1.089821466,-1.060997756,-0.8912533309,0.2372142381,-0.9677216001,-0.8486034882,-0.9914393244,-1.41278489,1.55530287,-0.8042294929
-0.9980552215,-1.265631264,-1.100024321,-1.028237062,-1.353336734,-1.589307693,-1.255414011,-1.805561349,-1.125616119,-1.303439026,-0.8452847379,-1.37358492,-1.113770148,-1.075005965,-1.070608822,-1.048341398,-0.8611591265,0.5293515886,-0.9079496021,-0.7570087972,-0.9384959,-1.501005454,2.297969147,-0.9400272178
